mes,ipc_var_mensual,ipc_var_12m,tc,bencina
2023-08,0.5,8.5,750,1050
2023-09,0.3,8.8,760,1070
2023-10,0.4,9.1,770,1090
2023-11,0.6,9.5,780,1100
2023-12,0.8,9.9,785,1110
2024-01,1.1,9.2,790,1120
2024-02,0.9,8.7,800,1100
2024-03,0.7,8.2,805,1090
2024-04,0.5,7.5,810,1080
2024-05,0.4,7.2,815,1070
2024-06,0.3,6.8,820,1060
2024-07,0.2,6.2,825,1050
2024-08,0.1,5.8,830,1040
2024-09,0.2,5.5,835,1030
2024-10,0.3,5.1,840,1020
2024-11,0.4,4.8,845,1010
2024-12,0.5,4.5,850,1000
2025-01,1.1,4.99,855,990
2025-02,0.4,4.78,860,980
2025-03,0.5,4.89,865,970
2025-04,0.2,4.59,870,960
2025-05,0.2,4.49,875,950
2025-06,-0.4,4.17,880,940
2025-07,0.9,4.38,885,930
2025-08,0.0,4.07,890,920
2025-09,0.4,4.38,895,910
2025-10,0.0,3.36,900,900
2025-11,0.3,3.46,905,890
2025-12,-0.2,3.46,910,880
2026-01,0.4,2.75,905,900
2026-02,0.0,2.33,900,920
2026-03,1.0,2.84,895,940
2026-04,1.3,3.97,900,960
2026-05,0.2,3.96,905,950
2026-06,0.0,4.38,910,940
2026-07,0.1,4.5,914,930
